slug,center_lat,center_lon,zoom
n26-serkam-melaka,2.17349,102.376334,11.739357962041145
n27-merlimau-melaka,2.199903,102.430266,10.73978551494474
n28-sungai-rambai-melaka,2.167798,102.486202,11.053507435625527
n01-buloh-kasap-johor,2.681578,102.75453,9.966784900143901
n02-jementah-johor,2.48892,102.720694,10.602579559071316
n03-pemanis-johor,2.583176,102.87628,10.531450519171756
n04-kemelah-johor,2.481507,102.916966,10.372982038568873
n05-tenang-johor,2.444086,103.03428,10.369726949395412
n06-bekok-johor,2.37193,103.170702,9.515214366531684
n07-bukit-kepong-johor,2.223506,102.818169,9.50948978285952
n08-bukit-pasir-johor,2.122822,102.67314,10.794902078792754
n09-gambir-johor,2.25463,102.646089,10.326342177860381
n10-tangkak-johor,2.348582,102.570818,10.142214253526477
n11-serom-johor,2.141902,102.557428,10.652043105534224
n12-bentayan-johor,2.061203,102.574626,12.685002133830922
n13-simpang-jeram-johor,2.053434,102.621402,12.134966489412074
n14-bukit-naning-johor,2.014422,102.738419,11.263487275400177
n15-maharani-johor,2.004871,102.614713,11.812454521953748
n16-sungai-balang-johor,1.928266,102.707125,10.92943803535156
n17-semerah-johor,1.89672,102.854794,10.774870276651134
n18-sri-medan-johor,2.023277,102.920367,10.361042390217628
n19-yong-peng-johor,2.070619,103.087669,10.14538063679965
n20-semarang-johor,1.90682,103.112485,10.682549955884795
n21-parit-yaani-johor,1.914968,102.984641,11.47369524683775
n22-parit-raja-johor,1.847845,103.050148,11.241337736143125
n23-penggaram-johor,1.864696,102.936481,11.964169370399555
n24-senggarang-johor,1.771574,103.006566,10.914936683707316
n25-rengit-johor,1.729491,103.153638,10.447229003481375
n26-machap-johor,1.850719,103.295285,10.053870324414826
n27-layanglayang-johor,1.849108,103.471358,10.721960869575692
n28-mengkibol-johor,1.981185,103.30438,10.464357029312662
n29-mahkota-johor,2.05556,103.343164,11.450926448096823
n30-paloh-johor,2.194371,103.293606,9.668142860485217
n31-kahang-johor,2.135826,103.488188,9.188313367751352
n32-endau-johor,2.502879,103.572967,9.834357230644402
n33-tenggaroh-johor,2.318362,104.051054,9.065067508669538
n34-panti-johor,1.884576,103.745854,9.893660186144196
n35-pasir-raja-johor,1.704457,103.79102,10.440784531984425
n36-sedili-johor,1.854473,103.975338,9.629108613266235
n37-johor-lama-johor,1.664228,104.021137,10.206213673513368
n38-penawar-johor,1.597298,104.14955,9.996845679924448
n39-tanjung-surat-johor,1.448444,104.157904,10.39072372138495
n40-tiram-johor,1.549448,103.896986,10.25299190318428
n41-puteri-wangsa-johor,1.592551,103.733917,10.921161683818852
n42-johor-jaya-johor,1.520498,103.835648,11.870044361439978
n43-permas-johor,1.47716,103.862708,11.631627939500106
n44-larkin-johor,1.498834,103.736945,12.73494185511039
n45-stulang-johor,1.484604,103.776094,12.348385487531152
n46-perling-johor,1.487238,103.696446,12.040848296395183
n47-kempas-johor,1.518336,103.711157,12.489454446904947
n48-skudai-johor,1.536146,103.65868,11.401136220378632
n49-kota-iskandar-johor,1.472823,103.615637,10.18530619597706
n50-bukit-permai-johor,1.721168,103.578885,10.800388968584892
n51-bukit-batu-johor,1.654106,103.477677,10.156062537266486
