date,parlimen,dun,seat,ballot_order,name,party,votes
07 Apr 2009,014,01425,"PRK DUN N.25 BUKIT SELAMBAU, KEDAH (2009)",4,S. MANIKUMAR,PARTI KEADILAN RAKYAT (PKR),"12,632"
07 Apr 2009,014,01425,"PRK DUN N.25 BUKIT SELAMBAU, KEDAH (2009)",5,MOHD FAZIL,BEBAS (BEBAS),83
07 Apr 2009,014,01425,"PRK DUN N.25 BUKIT SELAMBAU, KEDAH (2009)",6,ABDUL RAHIM BIN ABU,BEBAS (BEBAS),60
07 Apr 2009,014,01425,"PRK DUN N.25 BUKIT SELAMBAU, KEDAH (2009)",7,SARALA,BEBAS (BEBAS),49
07 Apr 2009,014,01425,"PRK DUN N.25 BUKIT SELAMBAU, KEDAH (2009)",8,DATO' S. GANESAN,BARISAN NASIONAL (BN),"10,229"
07 Apr 2009,014,01425,"PRK DUN N.25 BUKIT SELAMBAU, KEDAH (2009)",9,A.J. GOPAL ,BEBAS (BEBAS),35
07 Apr 2009,014,01425,"PRK DUN N.25 BUKIT SELAMBAU, KEDAH (2009)",10,S. MOGAN,BEBAS (BEBAS),46
07 Apr 2009,014,01425,"PRK DUN N.25 BUKIT SELAMBAU, KEDAH (2009)",11,KHAMIS BIN AWANG,BEBAS (BEBAS),29
07 Apr 2009,014,01425,"PRK DUN N.25 BUKIT SELAMBAU, KEDAH (2009)",12,HUSAINI YAACOB,BEBAS (BEBAS),257
07 Apr 2009,014,01425,"PRK DUN N.25 BUKIT SELAMBAU, KEDAH (2009)",13,VINSEN,BEBAS (BEBAS),32
07 Apr 2009,014,01425,"PRK DUN N.25 BUKIT SELAMBAU, KEDAH (2009)",14,MEJAR HJ. ANUAR BIN ABDUL HAMID,BEBAS (BEBAS),528
07 Apr 2009,014,01425,"PRK DUN N.25 BUKIT SELAMBAU, KEDAH (2009)",15,T CHANDRARAJAN,BEBAS (BEBAS),73
07 Apr 2009,059,05900,"PRK PARLIMEN P.059 BUKIT GANTANG, PERAK (2009)",1,ISMAIL SAFFIAN,BARISAN NASIONAL (BN),"19,071"
07 Apr 2009,059,05900,"PRK PARLIMEN P.059 BUKIT GANTANG, PERAK (2009)",2,IR. HJ. MOHAMMAD NIZAR JAMALUDDIN,PARTI ISLAM SE MALAYSIA (PAS),"21,860"
07 Apr 2009,059,05900,"PRK PARLIMEN P.059 BUKIT GANTANG, PERAK (2009)",3,KAMARUL RAMIZU,BEBAS (BEBAS),62
17 Jan 2009,036,03600,"PRK PARLIMEN P.036 KUALA TERENGGANU, TERENGGANU (2009)",1,DATO' WAN AHMAD FARID,BARISAN NASIONAL (BN),"30,252"
17 Jan 2009,036,03600,"PRK PARLIMEN P.036 KUALA TERENGGANU, TERENGGANU (2009)",2,HAJI MOHD ABDUL WAHID BIN ENDUT,PARTI ISLAM SE MALAYSIA (PAS),"32,883"
17 Jan 2009,036,03600,"PRK PARLIMEN P.036 KUALA TERENGGANU, TERENGGANU (2009)",3,AZHARUDIN,BEBAS (BEBAS),193
26 Aug 2008,044,04400,"PRK PARLIMEN P.044 PERMATANG PAUH, PULAU PINANG (2008)",1,HAJI PI,PARTI ANGKATAN KEADILAN INSAN MALAYSIA (AKIM),92
26 Aug 2008,044,04400,"PRK PARLIMEN P.044 PERMATANG PAUH, PULAU PINANG (2008)",2,ANWAR IBRAHIM,PARTI KEADILAN RAKYAT (PKR),"31,195"
26 Aug 2008,044,04400,"PRK PARLIMEN P.044 PERMATANG PAUH, PULAU PINANG (2008)",3,DATUK ARIF SHAH BIN OMAR SHAH,BARISAN NASIONAL (BN),"15,524"
