state,parlimen,area_name,ballot_order,name,candidate_uid,party,votes
Melaka,P.041 Malacca Utara,Malacca Utara,2,Abdul Ghani Ishak,214,PERIKATAN,11078
Melaka,P.041 Malacca Utara,Malacca Utara,3,Karim Bakar,215,BEBAS,2872
Melaka,P.042 Malacca Selatan,Malacca Selatan,1,Hassan Bin Mansor,216,PERIKATAN,11300
Melaka,P.042 Malacca Selatan,Malacca Selatan,2,Chung Cheng Wen,217,BEBAS,5812
Melaka,P.042 Malacca Selatan,Malacca Selatan,3,Mohamed Taha Bin Kallu,218,PAS,3017
Negeri Sembilan,P.043 Jelebu-Jempol,Jelebu-Jempol,1,Che' Ahmad Bin Hj. Yaacob,219,PAS,3970
Negeri Sembilan,P.043 Jelebu-Jempol,Jelebu-Jempol,2,Mohamed Bin Ujang,220,PERIKATAN,11265
Negeri Sembilan,P.044 Kuala Pilah,Kuala Pilah,1,Bahaman Bin Samsudin,32,PERIKATAN,11312
Negeri Sembilan,P.044 Kuala Pilah,Kuala Pilah,2,Ismail Bin Chik,221,PAS,5746
Negeri Sembilan,P.045 Rembau-Tampin,Rembau-Tampin,1,Baba Bin Ludek,68,BEBAS,4369
Negeri Sembilan,P.045 Rembau-Tampin,Rembau-Tampin,2,Haji Redza Bin Haji Mohd. Said,222,PERIKATAN,9587
Negeri Sembilan,P.046 Seremban Barat,Seremban Barat,1,C. Rasadurai,223,BEBAS,93
Negeri Sembilan,P.046 Seremban Barat,Seremban Barat,2,Sathappan Sathappan,224,BEBAS,3949
Negeri Sembilan,P.046 Seremban Barat,Seremban Barat,3,P. A. R. S. Dawood @ A. S. Dawood,225,PERIKATAN,3409
Negeri Sembilan,P.046 Seremban Barat,Seremban Barat,4,Quek Kai Dong,226,BEBAS,4752
Negeri Sembilan,P.047 Seremban Timor,Seremban Timor,1,Robert Singam,227,BEBAS,3985
Negeri Sembilan,P.047 Seremban Timor,Seremban Timor,2,Chin See Yin,228,BEBAS,5762
Negeri Sembilan,P.047 Seremban Timor,Seremban Timor,3,Md. Nor Bin Ab. Hamid,229,PAS,2387
Negeri Sembilan,P.047 Seremban Timor,Seremban Timor,4,Tham Tat Ming,230,PERIKATAN,2061
Negeri Sembilan,P.048 Port Dickson,Port Dickson,1,T. Mahima Singh,231,PERIKATAN,0
Pahang,P.049 Lipis,Lipis,1,Abdul Hamid Bin Abdullah,232,PAS,3818
Pahang,P.049 Lipis,Lipis,2,Mohd. Sulong Bin Mohd. Ali,233,PERIKATAN,11694
Pahang,P.050 Raub,Raub,1,Hussein Bin Hassan,234,PERIKATAN,6764
Pahang,P.050 Raub,Raub,2,Abu Bakar Bin Mohamed Resat,235,BEBAS,5130
Pahang,P.051 Bentong,Bentong,1,Lim Ong Hang,236,BEBAS,5141
Pahang,P.051 Bentong,Bentong,2,Chan Siang Sun,237,PERIKATAN,8643
Pahang,P.052 Temerloh,Temerloh,1,Mohd. Yusof Bin Mahmud,238,PERIKATAN,8018
Pahang,P.052 Temerloh,Temerloh,2,Ishak Bin Haji Mohammad,239,BEBAS,6665
Pahang,P.053 Kuantan,Kuantan,1,Haji Hamzah Bin Dahaman,240,PAS,2758
Pahang,P.053 Kuantan,Kuantan,2,Abdul Rahman Bin Haji Talib,75,PERIKATAN,8856
Pahang,P.054 Pekan,Pekan,1,Dato' Abdul Razak Bin Hussain,73,PERIKATAN,8811
Pahang,P.054 Pekan,Pekan,2,Mohamed Ariff Bin Abas,241,PAS,2593
Pulau Pinang,P.055 Bagan,Bagan,1,Abdullah Bin Abass,242,PAS,1532
Pulau Pinang,P.055 Bagan,Bagan,2,Wee Tiong Ghee,243,BEBAS,297
Pulau Pinang,P.055 Bagan,Bagan,3,Oon Beng Hong,244,BEBAS,3782
Pulau Pinang,P.055 Bagan,Bagan,4,Tan Cheng Bee,245,PERIKATAN,3945
Pulau Pinang,P.055 Bagan,Bagan,5,Peritam Singh,246,PPP,1792
Pulau Pinang,P.056 Seberang Utara,Seberang Utara,1,Haji Yusof Bin Haji Abdullah,1372,PAS,4537
Pulau Pinang,P.056 Seberang Utara,Seberang Utara,2,Haji Ahmad Bin Saaid,248,PERIKATAN,12748
Pulau Pinang,P.057 Seberang Tengah,Seberang Tengah,1,Haji Abdul Hamid Bin Ishak,249,PAS,3083
Pulau Pinang,P.057 Seberang Tengah,Seberang Tengah,2,Kang Eng Wah,250,BEBAS,7910
Pulau Pinang,P.057 Seberang Tengah,Seberang Tengah,3,Ibrahim Bin Abdul Rahman,251,PERIKATAN,9187
Pulau Pinang,P.058 Seberang Selatan,Seberang Selatan,1,V. Veerapen,252,BEBAS,5077
Pulau Pinang,P.058 Seberang Selatan,Seberang Selatan,2,Tay Hooi Soo,1,PERIKATAN,4313
Pulau Pinang,P.058 Seberang Selatan,Seberang Selatan,3,Haji Mohamed Taib Bin Sudin @ Hj. Md. Jais Bin Sudin,253,PAS,3093
Pulau Pinang,P.059 Tanjong,Tanjong,1,Khoo Yat See,254,PPP,2107
Pulau Pinang,P.059 Tanjong,Tanjong,2,Goh Guan Ho,255,PERIKATAN,6448
Pulau Pinang,P.059 Tanjong,Tanjong,3,Tan Phock Kin,256,BEBAS,11333
Pulau Pinang,P.060 Dato Kramat,Dato Kramat,1,Lee Thean-Chu,257,PERIKATAN,5048
Pulau Pinang,P.060 Dato Kramat,Dato Kramat,2,Lim Kean Siew,258,BEBAS,10474
