date,election,state,seat,ballot_order,candidate_rn,name_on_ballot,name_spr,party_on_ballot,party_uid,party,coalition_uid,coalition,votes
2026-07-11,SE-16,Johor,N.25 Rengit,2,11940,Zaidi Bin Japar,Zaidi Bin Japar,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.25 Rengit,3,14648,Hj Mohamad Yazid,Mohamad Yazid Bin Bakri,PH,046-AMANAH,AMANAH,007-PH,PH,0
2026-07-11,SE-16,Johor,N.26 Machap,1,14649,Nur Hafiz Roslan,Muhammad Nur Hafiz Bin Roslan,PH,046-AMANAH,AMANAH,007-PH,PH,0
2026-07-11,SE-16,Johor,N.26 Machap,2,11944,Onn Hafiz Ghazi,Onn Hafiz Bin Ghazi,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.27 Layang-Layang,1,14650,Guna Balakrishnan,Guna A/L Balakrishnan,PH,078-PKR,PKR,007-PH,PH,0
2026-07-11,SE-16,Johor,N.27 Layang-Layang,2,10522,Haji Abd Mutalip,Abd Mutalip Bin Abd Rahim,PN,107-BERSATU,BERSATU,011-PN,PN,0
2026-07-11,SE-16,Johor,N.27 Layang-Layang,3,13286,Chua Jian Boon,Chua Jian Boon,BN,003-MCA,MCA,001-BN,BN,0
2026-07-11,SE-16,Johor,N.28 Mengkibol,1,14651,Warren Yap Zhi Peng,Yap Zhi Peng,BN,003-MCA,MCA,001-BN,BN,0
2026-07-11,SE-16,Johor,N.28 Mengkibol,2,14652,Chu Poh Yee,Chu Poh Yee,PH,021-DAP,DAP,007-PH,PH,0
2026-07-11,SE-16,Johor,N.29 Mahkota,1,14653,Abd Hamid Bin Ali,Abd Hamid Bin Ali,BERSAMA,106-BERSAMA,BERSAMA,000-ALONE,ALONE,0
2026-07-11,SE-16,Johor,N.29 Mahkota,2,13998,Syed Hussien,Syed Hussien Bin Syed Abdullah,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.29 Mahkota,3,14654,Dr Zuhan,Mohd Zuhan Bin Mohd Zain @ Zakaria,PH,046-AMANAH,AMANAH,007-PH,PH,0
2026-07-11,SE-16,Johor,N.30 Paloh,1,14655,Kamaleswaren A/L Ganabathi,Kamaleswaren A/L Ganabathi,BEBAS,000-BEBAS,BEBAS,000-ALONE,ALONE,0
2026-07-11,SE-16,Johor,N.30 Paloh,2,14656,Dr.Ruban,Ruban A/L Arumugam,PH,021-DAP,DAP,007-PH,PH,0
2026-07-11,SE-16,Johor,N.30 Paloh,3,12846,Lee Ting Han,Lee Ting Han,BN,003-MCA,MCA,001-BN,BN,0
2026-07-11,SE-16,Johor,N.30 Paloh,4,14657,D.S. Jeevan,Jeevakumar A/L Dayalan,PN,113-MIPP,MIPP,011-PN,PN,0
2026-07-11,SE-16,Johor,N.31 Kahang,1,14658,V.Rugendran,Rugendran A/L Vellayan,BN,002-MIC,MIC,001-BN,BN,0
2026-07-11,SE-16,Johor,N.31 Kahang,2,14659,Imam Sabri,Mohd Sabri Bin Abd Kadir,PH,046-AMANAH,AMANAH,007-PH,PH,0
2026-07-11,SE-16,Johor,N.31 Kahang,3,11967,Hj Mazlan B. Bujang,Mazlan Bin Bujang,PN,004-PAS,PAS,011-PN,PN,0
2026-07-11,SE-16,Johor,N.32 Endau,1,14661,Ustaz Hakimi,Hasnul Hakimi Bin Hussien,PN,004-PAS,PAS,011-PN,PN,0
2026-07-11,SE-16,Johor,N.32 Endau,2,14662,Jati Bin Awang,Jati Bin Awang,ASLI,125-ASLI,ASLI,000-ALONE,ALONE,0
2026-07-11,SE-16,Johor,N.32 Endau,3,14663,Saiful Nizam Bin Samat,Saiful Nizam Bin Samat,PH,078-PKR,PKR,007-PH,PH,0
2026-07-11,SE-16,Johor,N.32 Endau,4,11950,Kak Awi,Alwiyah Binti Talib,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.33 Tenggaroh,1,14664,Muhamad Amerul,Muhamad Amerul Bin Muhamad,PN,107-BERSATU,BERSATU,011-PN,PN,0
2026-07-11,SE-16,Johor,N.33 Tenggaroh,2,12854,Youzaimi Yusof,Mohd Youzaimi Bin Yusof,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.33 Tenggaroh,3,14665,Md Yusof Bin Dawam,Md Yusof Bin Dawam,PH,078-PKR,PKR,007-PH,PH,0
2026-07-11,SE-16,Johor,N.34 Panti,1,14666,Dr. Naqib Ghazali,Muhammad Naqib Bin Md Ghazali,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.34 Panti,2,12867,Alias Rasman,Mohamad Alias Bin Rasman,PN,107-BERSATU,BERSATU,011-PN,PN,0
2026-07-11,SE-16,Johor,N.34 Panti,3,12858,Ahmad Daniel,Ahmad Daniel Bin Sharudin,PH,046-AMANAH,AMANAH,007-PH,PH,0
2026-07-11,SE-16,Johor,N.35 Pasir Raja,1,8187,Dr. Adham Baba,Adham Bin Baba,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.35 Pasir Raja,2,11081,Yuhanita Yunan,Yuhanita Binti Yunan,PN,004-PAS,PAS,011-PN,PN,0
2026-07-11,SE-16,Johor,N.35 Pasir Raja,3,12860,Fakharuddin Moslim,Mohd Fakharuddin Bin Moslim,PH,078-PKR,PKR,007-PH,PH,0
2026-07-11,SE-16,Johor,N.36 Sedili,1,14667,Amirul Huzni Onn,Amirul Huzni Bin Onn,PH,046-AMANAH,AMANAH,007-PH,PH,0
2026-07-11,SE-16,Johor,N.36 Sedili,2,12864,Muszaide Makmor,Muszaide Bin Makmor,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.36 Sedili,3,9449,Rasman,Rasman Bin Ithnain,PN,107-BERSATU,BERSATU,011-PN,PN,0
2026-07-11,SE-16,Johor,N.37 Johor Lama,1,14668,Aisah Esa,Aisah Binti Esa,PN,107-BERSATU,BERSATU,011-PN,PN,0
2026-07-11,SE-16,Johor,N.37 Johor Lama,2,14669,Danish Rahman,Danish Hossman Bin Abd Rahman,PH,078-PKR,PKR,007-PH,PH,0
2026-07-11,SE-16,Johor,N.37 Johor Lama,3,12868,Norlizah Noh,Norlizah Binti Noh,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.38 Penawar,1,12873,Fauziah Misri,Fauziah Binti Misri,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.38 Penawar,2,14670,Sawaludin,Mohd Sawaludin Bin Salleh,PH,046-AMANAH,AMANAH,007-PH,PH,0
2026-07-11,SE-16,Johor,N.38 Penawar,3,13277,Cikgu Nizar,Fairulnizar Bin Rahmat,PN,107-BERSATU,BERSATU,011-PN,PN,0
2026-07-11,SE-16,Johor,N.39 Tanjung Surat,1,14671,Faizul Abdul Ghani,Faizul Bin Abdul Ghani,PH,078-PKR,PKR,007-PH,PH,0
2026-07-11,SE-16,Johor,N.39 Tanjung Surat,2,12874,Aznan Tamin,Aznan Bin Tamin,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.40 Tiram,1,8688,Dato Hj Abdul Halim Bin Hj Suleiman,Abdul Halim Bin Suleiman,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.40 Tiram,2,14672,Nor Zulaila,Nor Zulaila Binti Abd.Ghani,PH,021-DAP,DAP,007-PH,PH,0
2026-07-11,SE-16,Johor,N.40 Tiram,3,14673,Dr Harith Fakhrudin,Harith Fakhrudin Bin Abdul Malek,BERSAMA,106-BERSAMA,BERSAMA,000-ALONE,ALONE,0
2026-07-11,SE-16,Johor,N.40 Tiram,4,14674,Ustaz Khir,Khirul-Muntanazar Bin Ismail,PN,004-PAS,PAS,011-PN,PN,0
2026-07-11,SE-16,Johor,N.41 Puteri Wangsa,1,14675,Nicholas Paul Vincent,Nicholas A/L Paul Vincent,BERSAMA,106-BERSAMA,BERSAMA,000-ALONE,ALONE,0
2026-07-11,SE-16,Johor,N.41 Puteri Wangsa,2,14676,Wang Wee Siong,Wang Wee Siong,BEBAS,000-BEBAS,BEBAS,000-ALONE,ALONE,0
2026-07-11,SE-16,Johor,N.41 Puteri Wangsa,3,11076,Dr. Maszlee Malik,Maszlee Bin Malik,PH,078-PKR,PKR,007-PH,PH,0
2026-07-11,SE-16,Johor,N.41 Puteri Wangsa,4,14677,Rashifa Aljunied,Sharifah Rashifa Binti Syed Abdul Rashid Aljunied,MUDA,MUDA,120-MUDA,000-ALONE,ALONE,0
2026-07-11,SE-16,Johor,N.41 Puteri Wangsa,5,14678,Teow Chia Ling (Ms. Teow),Teow Chia Ling,BN,003-MCA,MCA,001-BN,BN,0
2026-07-11,SE-16,Johor,N.42 Johor Jaya,1,14679,Hp Lim,Lim Hun Peaw,BEBAS,000-BEBAS,BEBAS,000-ALONE,ALONE,0
2026-07-11,SE-16,Johor,N.42 Johor Jaya,2,14680,Lau Yi Leong,Lau Yi Leong,BERSAMA,106-BERSAMA,BERSAMA,000-ALONE,ALONE,0
2026-07-11,SE-16,Johor,N.42 Johor Jaya,3,12887,Chan San San,Chan San San,BN,003-MCA,MCA,001-BN,BN,0
2026-07-11,SE-16,Johor,N.42 Johor Jaya,4,14681,Lee Wern Yiing,Lee Wern Yiing,PH,021-DAP,DAP,007-PH,PH,0
