date,state,seat,ballot_order,name,candidate_uid,party,party_uid,votes
2019-05-11,Sabah,P.186 Sandakan,5,Linda Tsen Thau Lin,3922,PBS,48,4491
2019-11-16,Johor,P.165 Tanjung Piai,1,Wendy Subramaniam,985,GERAKAN,21,1707
2019-11-16,Johor,P.165 Tanjung Piai,2,Wee Jeck Seng,3529,BN,25,25466
2019-11-16,Johor,P.165 Tanjung Piai,3,Dr. Ang Chuan Lock,23556,BEBAS,1,380
2019-11-16,Johor,P.165 Tanjung Piai,4,Haji Karmaine Bin Sardini,4295,PH,73,10380
2019-11-16,Johor,P.165 Tanjung Piai,5,Dato' Dr Badhrulhisham,23558,BERJASA,34,850
2019-11-16,Johor,P.165 Tanjung Piai,6,Faridah Aryani Binti Abd Ghaffar,23559,BEBAS,1,32
2020-01-18,Sabah,P.176 Kimanis,1,Mohamad Bin Alamin,3792,BN,25,12706
2020-01-18,Sabah,P.176 Kimanis,2,Karim Bin Bujang,4323,WARISAN,74,10677
2020-07-04,Pahang,N.23 Chini,1,Tengku Dato' Hisham,4733,BEBAS,1,1222
2020-07-04,Pahang,N.23 Chini,2,Cmk Shukri Ramli,23550,BEBAS,1,137
2020-07-04,Pahang,N.23 Chini,3,Mohd Sharim Bin Md Zain,16380,BN,25,13872
2020-08-29,Perak,N.58 Slim,1,Amir Khusyairi,4699,BEBAS,1,2115
2020-08-29,Perak,N.58 Slim,2,Zaidi Aziz,22873,BN,25,13060
2020-08-29,Perak,N.58 Slim,3,Profesor Santharasekaran Subramaniam,985,BEBAS,1,276
2022-11-19,Sabah,N.66 Bugaya,1,Mohd Hassan Bin Abu Bakar,169,PEJUANG,93,130
2022-11-19,Sabah,N.66 Bugaya,2,Jamil Bin Hamzah,3407,WARISAN,74,11382
2022-11-19,Sabah,N.66 Bugaya,3,Nazmahwati Binti Walli,23541,PBM,96,98
2022-11-19,Sabah,N.66 Bugaya,4,Jufazli Bin Shi Ahmad @Tongko,20267,BEBAS,1,693
2022-11-19,Sabah,N.66 Bugaya,5,Karil Bin Pg.Kuraini,23543,PPRS,77,150
2022-11-19,Sabah,N.66 Bugaya,6,Hj Abd Aziz Bin Hj Mohd Ibno,20673,BN,25,4753
2022-11-19,Sabah,N.66 Bugaya,7,Arastam Bin Pandorog,5139,PH,73,562
2022-12-07,Pahang,N.42 Tioman,1,Idayu Hashim,23534,PN,12,7507
2022-12-07,Pahang,N.42 Tioman,2,Cikgu Osman Bakar,20953,PEJUANG,93,79
2022-12-07,Pahang,N.42 Tioman,3,Mohd Fadzli Bin Mohd Ramly,16581,PH,73,784
2022-12-07,Pahang,N.42 Tioman,4,Dato' Sri Haji Mohd Johari Bin Haji Hussain,19484,BN,25,8080
2022-12-07,Pahang,N.42 Tioman,5,Sulaiman Bin Bakar,14294,BEBAS,1,58
2022-12-07,Kedah,P.017 Padang Serai,1,Dato' Cikgu Azman,4471,PN,12,51637
2022-12-07,Kedah,P.017 Padang Serai,2,Dato Sivaraj Chandran,3808,BN,25,2983
2022-12-07,Kedah,P.017 Padang Serai,3,Hamzah Abd Rahman,3407,PEJUANG,93,424
2022-12-07,Kedah,P.017 Padang Serai,4,Dr. Sofee Razak,4474,PH,73,35377
2022-12-07,Kedah,P.017 Padang Serai,5,Ananda Ak,4475,BEBAS,1,846
2022-12-07,Kedah,P.017 Padang Serai,6,Mohd Bakhri Bin Haji Hashim,4476,WARISAN,74,149
2023-08-12,Terengganu,P.036 Kuala Terengganu,1,Datuk Hj Amzad Hashim,4052,PAS,3,68369
2023-08-12,Terengganu,P.036 Kuala Terengganu,2,Azan Ismail,3409,PH,73,21103
2023-09-09,Johor,N.13 Simpang Jeram,1,Dr. Mazri Yahya,4291,PN,12,10330
2023-09-09,Johor,N.13 Simpang Jeram,2,Ir. Ts. Haji Nazri,23524,PH,73,13844
2023-09-09,Johor,N.13 Simpang Jeram,3,Jeghanaathan,23525,BEBAS,1,311
2023-09-09,Johor,P.161 Pulai,1,Samsudin PKPKL,4906,BEBAS,1,528
2023-09-09,Johor,P.161 Pulai,2,Zulkifli Jaafar,23521,PN,12,29642
2023-09-09,Johor,P.161 Pulai,3,Suhaizan Kayat,3160,PH,73,48283
2023-10-07,Pahang,N.36 Pelangai,1,Cikgu Kasim,22644,PN,12,4375
2023-10-07,Pahang,N.36 Pelangai,2,Haslihelmy Dm Bin Zulhasli,23518,BEBAS,1,47
2023-10-07,Pahang,N.36 Pelangai,3,Dato' Amizar Bin Abu Adam,22637,BN,25,7324
2023-11-04,Sarawak,N.67 Jepak,1,Chieng Lea Phing,4402,ASPIRASI,90,431
2023-11-04,Sarawak,N.67 Jepak,2,Iskandar Turkee,23515,GPS,88,9638
2023-11-04,Sarawak,N.67 Jepak,3,Stevenson Joseph Sumbang,23516,PBK,76,854
2023-12-02,Terengganu,P.040 Kemaman,1,Jeneral (B) Tan Sri Raja Mohamed Affandi,23512,BN,25,27778
2023-12-02,Terengganu,P.040 Kemaman,2,Dr. Sam,23155,PAS,3,64998
2024-05-11,Selangor,N.06 Kuala Kubu Baharu,1,Khairul Azhari,4216,PN,12,10131
2024-05-11,Selangor,N.06 Kuala Kubu Baharu,2,Pang Sock Tao,23509,PH,73,14000
2024-05-11,Selangor,N.06 Kuala Kubu Baharu,3,Eris Nyau Ke Xin,23510,BEBAS,1,188
2024-05-11,Selangor,N.06 Kuala Kubu Baharu,4,Hafizah,21069,PRM,57,152
2024-07-06,Pulau Pinang,N.20 Sungai Bakap,1,Cikgu Joohari,20584,PH,73,10222
2024-07-06,Pulau Pinang,N.20 Sungai Bakap,2,Abang Abidin,23507,PN,12,14489
2024-08-17,Kelantan,N.43 Nenggiri,1,Rizwadi Ismail,21249,PAS,3,5739
2024-08-17,Kelantan,N.43 Nenggiri,2,Awie,23505,BN,25,9091
2024-09-28,Johor,N.29 Mahkota,1,Syed Hussien Bin Syed Abdullah,6596,BN,25,27995
2024-09-28,Johor,N.29 Mahkota,2,Coach Haizan,23503,PN,12,7347
2025-04-26,Perak,N.48 Ayer Kuning,1,Dr. Ustaz Yusri Bakir,23499,BN,25,11065
2025-04-26,Perak,N.48 Ayer Kuning,2,Ustaz Muhaimin,23500,PN,12,6059
2025-04-26,Perak,N.48 Ayer Kuning,3,Bawani KS,21332,PSM,68,1106
