date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Perak,N.31 Gopeng,1,H3WRE,Hor Hock Lung,Hor Huck Lung,M,Chinese,41,PPP,006-PPP,PPP,0,ALONE,3595,41.99275785539073,1,won
1959-05-20,SE-01,Perak,N.31 Gopeng,2,SVSHJ,Ahmad Johan,Ahmad Johan,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3479,40.63777596075225,2,lost
1959-05-20,SE-01,Perak,N.31 Gopeng,3,X9FKV,Syed Oun,Syed Oun,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,924,10.793131643499592,3,lost_deposit
1959-05-20,SE-01,Perak,N.31 Gopeng,4,0Q5P4,Ahmad Noor Shukoor,Ahmad Noor Shukoor,M,Malay,-1,SF,009-PR,PR,2,SF,563,6.576334540357435,4,lost_deposit
1959-05-20,SE-01,Perak,N.32 Kuala Dipang,1,44VRD,Teh Siew Eng,Teh Siew Eng,M,Chinese,-1,PERIKATAN,003-MCA,MCA,1,PERIKATAN,5410,50.774284373533554,1,won
1959-05-20,SE-01,Perak,N.32 Kuala Dipang,2,7JHTP,Mak Fie Hong,Mak Fie Hong,M,Chinese,-1,PPP,006-PPP,PPP,0,ALONE,4322,40.5631159080244,2,lost
1959-05-20,SE-01,Perak,N.32 Kuala Dipang,3,B07WZ,Haji Ahmad,Ahmad,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,577,5.4152979821679965,3,lost_deposit
1959-05-20,SE-01,Perak,N.32 Kuala Dipang,4,EDXZ8,Lee Hooi Keat,Lee Hooi Keat,M,Chinese,-1,SF,005-LPM,LPM,2,SF,346,3.24730173627405,4,lost_deposit
1959-05-20,SE-01,Perak,N.33 Bidor,1,HVM1H,Ponnusamy Pillai S/O Vyayapuri Pillai,Ponnusamy Pillai S/O Vyayapuri Pillai,M,Indian,37,PERIKATAN,002-MIC,MIC,1,PERIKATAN,3687,55.948406676783,1,won
1959-05-20,SE-01,Perak,N.33 Bidor,2,4H7TN,Ramanathan Chelvarayan Mannavarayan,Ramanathan Chelvarayan Mannavarayan,M,Indian,50,PPP,006-PPP,PPP,0,ALONE,2903,44.051593323217,2,lost
1959-05-20,SE-01,Perak,N.34 Slim,1,N9A3T,Yang Abdul Rashid Bin Abd. Wahab,Yang Abdul Rashid bin Abd. Wahab,M,Malay,52,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3927,63.66731517509727,1,won
1959-05-20,SE-01,Perak,N.34 Slim,2,RQ063,Jaffar Bin Alang,Jaffar bin Alang,M,Malay,27,SF,009-PR,PR,2,SF,1003,16.26134889753567,2,lost
1959-05-20,SE-01,Perak,N.34 Slim,3,W4P8C,Mohamed Suhaily Bin Ahmad,Mohamed Suhaily bin Ahmad,M,Malay,36,PPP,006-PPP,PPP,0,ALONE,781,12.662127107652399,3,lost
1959-05-20,SE-01,Perak,N.34 Slim,4,ZJCAN,Abdullah Bin Abu Seman,Abdullah bin Abu Seman,M,Malay,55,PAS,004-PAS,PAS,0,ALONE,457,7.409208819714657,4,lost_deposit
1959-05-20,SE-01,Perak,N.35 Batak Rabit,1,302CY,Som Binti Abdullah,Som binti Abdullah,F,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2495,41.97510094212652,1,won
1959-05-20,SE-01,Perak,N.35 Batak Rabit,2,6DRF7,Chin Nan King,Chin Nan King,M,Chinese,35,PPP,006-PPP,PPP,0,ALONE,1911,32.15006729475101,2,lost
1959-05-20,SE-01,Perak,N.35 Batak Rabit,3,9VEHG,Ahmad Sedek Asiff,Ahmad Sedek bin Asiff,M,Malay,40,PAS,004-PAS,PAS,0,ALONE,874,14.703903095558546,3,lost
1959-05-20,SE-01,Perak,N.35 Batak Rabit,4,D94KS,Wu Sheik Chuan,Wu Sheik Chuan,M,Chinese,42,BEBAS,000-BEBAS,BEBAS,0,ALONE,464,7.806191117092867,4,lost_deposit
1959-05-20,SE-01,Perak,N.35 Batak Rabit,5,GPTP2,Johar Shah Budin,Johar Shah Budin,M,Malay,53,SF,009-PR,PR,2,SF,200,3.3647375504710633,5,lost_deposit
1959-05-20,SE-01,Perak,N.36 Pasir Bedamar,1,M4GRB,Wah Keng Jooi,Wah Keng Jooi,M,Chinese,57,PERIKATAN,003-MCA,MCA,1,PERIKATAN,6713,75.93891402714932,1,won
1959-05-20,SE-01,Perak,N.36 Pasir Bedamar,2,QJ6TM,Lee Sooi Soo,Lee Sooi Soo,M,Chinese,27,PPP,006-PPP,PPP,0,ALONE,2127,24.06108597285068,2,lost
1959-05-20,SE-01,Perak,N.37 Rungkup,1,TZWWX,Lope Hashim Bin Ketong,Lope Hashim bin Ketong,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4901,66.78021528818641,1,won
1959-05-20,SE-01,Perak,N.37 Rungkup,2,YDJZ6,Ali Akbar Bin Mohd. Amin,Ali Akbar bin Mohd. Amin,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,2438,33.2197847118136,2,lost
1959-05-20,SE-01,Perak,N.38 Hutan Melintang,1,1V91F,Sulaiman Bin Buloh,Sulaiman bin Bulon,M,Malay,38,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3121,64.99375260308204,1,won
1959-05-20,SE-01,Perak,N.38 Hutan Melintang,2,58Z3R,Adnan Bin Abdul Samad,Adnan bin Abdul Samad,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,1681,35.00624739691795,2,lost
1959-05-20,SE-01,Perak,N.39 Tapah Road,1,8PN61,Mohamed Jumah Bin Satir,Mohamed Jumah bin Satir,M,Malay,26,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3147,62.21826809015422,1,won
1959-05-20,SE-01,Perak,N.39 Tapah Road,2,C4B8A,Osman Bin Ahmad,Osman bin Ahmad,M,Malay,41,PPP,006-PPP,PPP,0,ALONE,1135,22.43969948596283,2,lost
1959-05-20,SE-01,Perak,N.39 Tapah Road,3,FJ1AK,Haji Hashim Bin Haji Salleh,Hashim bin Salleh,M,Malay,43,PAS,004-PAS,PAS,0,ALONE,776,15.342032423882957,3,lost
1959-05-20,SE-01,Perak,N.40 Tapah,1,JZQCW,Thum Yeng Yong,Thum Yeng Yong,M,Chinese,52,PERIKATAN,003-MCA,MCA,1,PERIKATAN,3627,58.518877057115205,1,won
1959-05-20,SE-01,Perak,N.40 Tapah,2,PDDF5,Cheah Wan Tuck,Cheah Wan Tuck,M,Chinese,31,PPP,006-PPP,PPP,0,ALONE,1814,29.2675056469829,2,lost
1959-05-20,SE-01,Perak,N.40 Tapah,3,SV3HE,Zan Abu Kassim Bin Haji,Zan Abu Kassim bin Mohamed Hashim,M,Malay,30,PAS,004-PAS,PAS,0,ALONE,757,12.213617295901903,3,lost_deposit
1964-04-25,SE-02,Perak,N.01 Grik,1,2913Z,Md. Nor Bin Md. Dahan,Md. Nor bin Md. Dahan,M,Malay,39,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,5338,63.775388291517324,1,won
1964-04-25,SE-02,Perak,N.01 Grik,2,SJ5FT,Yunus Bin Md. Isa,Yunus bin Md. Isa,M,Malay,-1,SF,009-PR,PR,2,SF,1939,23.166069295101554,2,lost
1964-04-25,SE-02,Perak,N.01 Grik,3,87H39,Salleh Bin Yit,Salleh bin Yit,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,1093,13.058542413381122,3,lost
1964-04-25,SE-02,Perak,N.02 Lenggong,1,5PQ68,Tan Kim Seng,Tan Kim Seng,M,Chinese,40,PDB,016-UDP,UDP,0,ALONE,1238,12.087482913493458,3,lost_deposit
1964-04-25,SE-02,Perak,N.02 Lenggong,2,QM8V0,Ahmad Bin Said,Ahmad bin Said,M,Malay,45,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,6929,67.65280218707284,1,won
1964-04-25,SE-02,Perak,N.02 Lenggong,3,BN75J,Razali Bin Hj. Hussin,Razali bin Hussin,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,2075,20.259714899433703,2,lost
1964-04-25,SE-02,Perak,N.03 Selama,1,1XB1V,Haji Hussein Bin Haji Yaacob,Hussein bin Yaacob,M,Malay,49,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,7705,75.43567652242021,1,won
