date,election,state,seat,voters_total,ballots_issued,ballots_not_returned,votes_rejected,votes_valid,majority,voter_turnout,majority_perc,votes_rejected_perc,ballots_not_returned_perc
1991-09-27,SE-06,Sarawak,N.41 Dalat,14494,10064,26,117,9921,5615,69.43562853594591,56.59711722608608,1.1655708308427972,0.25834658187599363
1991-09-27,SE-06,Sarawak,N.42 Balingian,10661,7598,66,115,7417,4654,71.26911171559891,62.747741674531476,1.5268189060010622,0.8686496446433273
1991-09-27,SE-06,Sarawak,N.43 Tamin,9053,6589,1,66,6522,512,72.78250303766707,7.850352652560565,1.0018214936247722,0.015176809834572773
1991-09-27,SE-06,Sarawak,N.44 Kakus,7919,5719,8,73,5638,722,72.21871448415203,12.805959560127706,1.278234985116442,0.1398845952089526
1991-09-27,SE-06,Sarawak,N.45 Pelagus,10138,8165,7,116,8042,642,80.53856776484514,7.983088783884605,1.4219171365530767,0.08573178199632578
1991-09-27,SE-06,Sarawak,N.46 Katibas,7716,5827,17,75,5735,1666,75.51840331778124,29.04969485614647,1.2908777969018932,0.2917453234940793
1991-09-27,SE-06,Sarawak,N.47 Baleh,8769,6306,0,77,6229,2325,71.91241874786178,37.325413388986995,1.2210593085949888,0.0
1991-09-27,SE-06,Sarawak,N.48 Belaga,5235,3883,10,73,3800,2059,74.17382999044891,54.18421052631579,1.8848437903434032,0.25753283543651817
1991-09-27,SE-06,Sarawak,N.49 Kemena,11310,7633,0,96,7537,2949,67.48894783377541,39.12697359692186,1.2576968426568846,0.0
1991-09-27,SE-06,Sarawak,N.50 Kidurong,18363,12961,14,107,12840,1350,70.58214888634755,10.514018691588785,0.8264462809917356,0.10801635676259548
1991-09-27,SE-06,Sarawak,N.51 Lambir,22554,14346,202,289,13855,5635,63.607342378292095,40.67123782028148,2.043269230769231,1.4080579952600027
1991-09-27,SE-06,Sarawak,N.52 Piasau,30557,18477,74,198,18205,9063,60.46732336289558,49.783026641032684,1.0759115361625822,0.4004979163284083
1991-09-27,SE-06,Sarawak,N.53 Marudi,12651,8133,20,133,7980,742,64.28740811003082,9.298245614035087,1.639344262295082,0.24591171769334808
1991-09-27,SE-06,Sarawak,N.54 Telang Usan,10071,5774,9,57,5708,1233,57.332936153311486,21.60126138752628,0.9887250650477016,0.15587114651887773
1991-09-27,SE-06,Sarawak,N.55 Limbang,16009,11138,53,114,10971,2994,69.57336498219752,27.29012852064534,1.0284167794316643,0.47584844675884364
1991-09-27,SE-06,Sarawak,N.56 Lawas,11632,8619,18,92,8509,3643,74.09731774415405,42.81349159713245,1.0696430647599116,0.20884093282283328
1996-09-07,SE-07,Sarawak,N.01 Tanjong Datu,11120,8047,268,92,7687,3417,72.36510791366906,44.45167165344087,1.1826712945108626,3.3304337020007457
1996-09-07,SE-07,Sarawak,N.02 Tasik Biru,15147,10728,68,137,10523,1575,70.82590612002376,14.967214672621875,1.2851782363977486,0.633855331841909
1996-09-07,SE-07,Sarawak,N.03 Pantai Damai,11273,0,0,0,0,0,,,,
1996-09-07,SE-07,Sarawak,N.04 Demak Laut,9107,6057,26,130,5901,4829,66.50927857691885,81.83358752753772,2.155529762891726,0.4292554069671455
1996-09-07,SE-07,Sarawak,N.05 Tupong,11119,7136,69,142,6925,5603,64.17843331234823,80.90974729241877,2.009339182114051,0.9669282511210763
1996-09-07,SE-07,Sarawak,N.06 Satok,12803,7744,206,102,7436,5820,60.485823635085524,78.26788596019365,1.3531440700451047,2.660123966942149
1996-09-07,SE-07,Sarawak,N.07 Samariang,10037,6144,131,134,5879,2461,61.21351001295208,41.86086069059364,2.22850490603692,2.132161458333333
1996-09-07,SE-07,Sarawak,N.08 Padungan,24310,14915,43,84,14788,2132,61.35335252982311,14.417094941844738,0.5648197955890264,0.2883003687562856
1996-09-07,SE-07,Sarawak,N.09 Pending,27016,16541,53,136,16352,6636,61.22668048563814,40.582191780821915,0.8248423095584668,0.3204159361586361
1996-09-07,SE-07,Sarawak,N.10 Batu Lintang,24215,13585,186,110,13289,6980,56.10158992360107,52.524644442772214,0.8209567878199866,1.3691571586308429
1996-09-07,SE-07,Sarawak,N.11 Batu Kawah,22016,13471,290,240,12941,8825,61.18731831395349,68.19411173788733,1.8208026705105833,2.152772622670923
1996-09-07,SE-07,Sarawak,N.12 Asajaya,9453,0,0,0,0,0,,,,
1996-09-07,SE-07,Sarawak,N.13 Muara Tuang,17231,0,0,0,0,0,,,,
1996-09-07,SE-07,Sarawak,N.14 Bengoh,17540,11969,51,212,11706,1447,68.23831242873433,12.36118229967538,1.7788219499916091,0.4261007602974351
1996-09-07,SE-07,Sarawak,N.15 Tarat,14885,0,0,0,0,0,,,,
1996-09-07,SE-07,Sarawak,N.16 Tebedu,11022,6829,24,195,6610,2560,61.95790237706406,38.72919818456884,2.865540044085231,0.3514423780934251
1996-09-07,SE-07,Sarawak,N.17 Kedup,18095,10382,55,229,10098,3858,57.37496546007185,38.20558526440879,2.217488137890965,0.5297630514351763
1996-09-07,SE-07,Sarawak,N.18 Sadong Jaya,7473,5132,4,79,5049,1809,68.6738926803158,35.82887700534759,1.5405616224648986,0.0779423226812159
1996-09-07,SE-07,Sarawak,N.19 Simunjan,12514,8417,0,282,8135,6529,67.260668051782,80.2581438229871,3.350362361886658,0.0
1996-09-07,SE-07,Sarawak,N.20 Sebuyau,10335,0,0,0,0,0,,,,
1996-09-07,SE-07,Sarawak,N.21 Beting Maro,8380,5376,4,130,5242,2230,64.1527446300716,42.54101487981686,2.4199553239017124,0.0744047619047619
1996-09-07,SE-07,Sarawak,N.22 Bukit Begunan,10926,7762,47,98,7617,2165,71.04155226066264,28.423263752133387,1.270252754374595,0.6055140427724813
1996-09-07,SE-07,Sarawak,N.23 Simanggang,15484,9928,242,194,9492,6938,64.11779901834151,73.09313105773283,2.0028907701837704,2.4375503626107977
1996-09-07,SE-07,Sarawak,N.24 Engkilili,8582,6317,7,87,6223,374,73.60755068748543,6.0099630403342434,1.3787638668779716,0.1108120943485832
1996-09-07,SE-07,Sarawak,N.25 Batang Ai,7084,5313,4,100,5209,2555,75.0,49.04972163563064,1.8835938971557733,0.07528703180877094
