date,election,state,seat,area_name,ballot_order,name,candidate_uid,party,party_uid,votes,votes_perc,result
1955-07-25,GE-00,Kelantan,P.044 Kelantan Selatan,Kelantan Selatan,1,Abdul Khalid Bin Awang Osman,107,PERIKATAN,2,21746,66.86756249807817,won
1955-07-25,GE-00,Kelantan,P.044 Kelantan Selatan,Kelantan Selatan,2,Dato' Nik Ahmed Kamil Bin Mahmood,108,BEBAS,1,7175,22.062667199655607,lost
1955-07-25,GE-00,Kelantan,P.044 Kelantan Selatan,Kelantan Selatan,3,Haji Mohamed Noor Bin Haji Yusoff,109,PAS,3,3600,11.069770302266228,lost_deposit
1955-07-25,GE-00,Kelantan,P.045 Kelantan Timor,Kelantan Timor,1,Nik Hassan Bin Haji Nik Yahya,110,PERIKATAN,2,30594,80.9622102254684,won
1955-07-25,GE-00,Kelantan,P.045 Kelantan Timor,Kelantan Timor,2,Dato' Nik Ahmed Bin Haji Nik Mahmood,111,BEBAS,1,4019,10.635651529586113,lost_deposit
1955-07-25,GE-00,Kelantan,P.045 Kelantan Timor,Kelantan Timor,3,Mohd. Asri Bin Haji Muda,112,PAS,3,2292,6.0654175928866305,lost_deposit
1955-07-25,GE-00,Kelantan,P.045 Kelantan Timor,Kelantan Timor,4,Mohamed Bin Ibrahim,113,BEBAS,1,883,2.3367206520588546,lost_deposit
1955-07-25,GE-00,Kelantan,P.046 Pasir Mas,Pasir Mas,1,Tengku Ahmad Bin Tengku Abdul Ghaffar,114,PERIKATAN,2,20963,73.63189322093432,won
1955-07-25,GE-00,Kelantan,P.046 Pasir Mas,Pasir Mas,2,Haji Mokhtar Bin Haji Ahmed,115,PAS,3,7507,26.36810677906568,lost
1955-07-25,GE-00,Kelantan,P.047 Kelantan Utara,Kelantan Utara,1,Tengku Indra Petra Bin Sultan Ibrahim,116,PERIKATAN,2,28428,81.8708060939435,won
1955-07-25,GE-00,Kelantan,P.047 Kelantan Utara,Kelantan Utara,2,Dato' Nik Hussein Bin Nik Zainal,117,BEBAS,1,6295,18.129193906056503,lost
1955-07-25,GE-00,Kelantan,P.048 Kelantan Tengah,Kelantan Tengah,1,Abdul Hamid Bin Mahmud,118,PERIKATAN,2,28422,85.43601767517359,won
1955-07-25,GE-00,Kelantan,P.048 Kelantan Tengah,Kelantan Tengah,2,Tengku Annuar Zainal Bin Tengku Zainal Abidin,119,BEBAS,1,2970,8.927766254847146,lost_deposit
1955-07-25,GE-00,Kelantan,P.048 Kelantan Tengah,Kelantan Tengah,3,Dato Nik Mohamed Bin Abdul Rahman,120,BEBAS,1,1154,3.4689031172032343,lost_deposit
1955-07-25,GE-00,Kelantan,P.048 Kelantan Tengah,Kelantan Tengah,4,Idris Bin Haji Mohamed,121,BEBAS,1,721,2.1673129527760246,lost_deposit
1955-07-25,GE-00,Terengganu,P.049 Terengganu Utara,Terengganu Utara,1,Ibrahim Fikri Bin Mohamed,122,PERIKATAN,2,22041,88.49319468422532,won
1955-07-25,GE-00,Terengganu,P.049 Terengganu Utara,Terengganu Utara,2,Mohd. Salleh Bin Ahmad,123,BEBAS,1,2866,11.506805315774681,lost_deposit
