date,election,state,seat,ballot_order,name,candidate_uid,party,party_uid,votes
1959-05-20,GE-01,Kelantan,P.024 Ulu Kelantan,2,Haji Yatim Bin Haji Shamsuddin,337,BEBAS,1,292
1959-05-20,GE-01,Kelantan,P.024 Ulu Kelantan,3,Amaluddin Darus,338,PAS,3,8306
1959-05-20,GE-01,Terengganu,P.025 Besut,1,Burhanuddin Bin Mohd. Noor,357,PAS,3,9988
1959-05-20,GE-01,Terengganu,P.025 Besut,2,Husain Bin Haji Abdullah,358,PERIKATAN,2,4216
1959-05-20,GE-01,Terengganu,P.026 Kuala Trengganu Utara,1,Wan Abdul Kadir Bin Ismail,359,PERIKATAN,2,6535
1959-05-20,GE-01,Terengganu,P.026 Kuala Trengganu Utara,2,Ibrahim Bin Abdul Kadir,360,BEBAS,1,540
1959-05-20,GE-01,Terengganu,P.026 Kuala Trengganu Utara,3,Haji Hasan Adli Bin Haji Arshad,33,PAS,3,7262
1959-05-20,GE-01,Terengganu,P.027 Kuala Trengganu Selatan,1,Engku Muhsein Bin Abdul Kadir,124,PERIKATAN,2,5374
1959-05-20,GE-01,Terengganu,P.027 Kuala Trengganu Selatan,2,Dato' Onn Bin Jaafar,81,BEBAS,1,7986
1959-05-20,GE-01,Terengganu,P.028 Dungun,1,Wan Salleh Bin Abdul Kadir,367,BEBAS,1,595
1959-05-20,GE-01,Terengganu,P.028 Dungun,2,Mohamed Adib Bin Omar,368,PERIKATAN,2,4158
1959-05-20,GE-01,Terengganu,P.028 Dungun,3,Khadijah Binti Mohd. Sidik,369,PAS,3,6249
1959-05-20,GE-01,Terengganu,P.029 Kemaman,1,Wan Yahya Bin Haji Wan Mohamed,126,PERIKATAN,2,0
1959-05-20,GE-01,Terengganu,P.030 Trengganu Tengah,1,Ismail Bin Haji Kassim,363,PERIKATAN,2,4954
1959-05-20,GE-01,Terengganu,P.030 Trengganu Tengah,2,Engku Sayed Mohsin Bin Z' Abidin,364,BEBAS,1,199
1959-05-20,GE-01,Terengganu,P.030 Trengganu Tengah,3,Setia Bin Abu Bakar,365,BEBAS,1,758
1959-05-20,GE-01,Terengganu,P.030 Trengganu Tengah,4,Harun Bin Pilus,366,PAS,3,8625
1959-05-20,GE-01,Pulau Pinang,P.031 Bagan,1,Abdullah Bin Abass,130,PAS,3,1532
1959-05-20,GE-01,Pulau Pinang,P.031 Bagan,2,Wee Tiong Ghee,131,BEBAS,1,297
1959-05-20,GE-01,Pulau Pinang,P.031 Bagan,3,Oon Beng Hong,132,BEBAS,1,3782
1959-05-20,GE-01,Pulau Pinang,P.031 Bagan,4,Tan Cheng Bee,133,PERIKATAN,2,3945
1959-05-20,GE-01,Pulau Pinang,P.031 Bagan,5,Peritam Singh,134,PPP,4,1792
1959-05-20,GE-01,Pulau Pinang,P.032 Seberang Tengah,1,Haji Abdul Hamid Bin Ishak,137,PAS,3,3083
1959-05-20,GE-01,Pulau Pinang,P.032 Seberang Tengah,2,Kang Eng Wah,138,BEBAS,1,7910
1959-05-20,GE-01,Pulau Pinang,P.032 Seberang Tengah,3,Ibrahim Bin Abdul Rahman,139,PERIKATAN,2,9187
1959-05-20,GE-01,Pulau Pinang,P.033 Seberang Selatan,1,V. Veerapen,140,BEBAS,1,5077
1959-05-20,GE-01,Pulau Pinang,P.033 Seberang Selatan,2,Tay Hooi Soo,2,PERIKATAN,2,4313
1959-05-20,GE-01,Pulau Pinang,P.033 Seberang Selatan,3,Haji Mohamed Taib Bin Sudin @ Hj. Md. Jais Bin Sudin,141,PAS,3,3093
1959-05-20,GE-01,Pulau Pinang,P.034 Penang Utara,1,Geh Chong Keat,148,PERIKATAN,2,8739
1959-05-20,GE-01,Pulau Pinang,P.034 Penang Utara,2,Shaik Ahmed Bin Shaik Mohamed,149,BEBAS,1,845
1959-05-20,GE-01,Pulau Pinang,P.034 Penang Utara,3,Lau Teik Hai,150,BEBAS,1,7880
1959-05-20,GE-01,Pulau Pinang,P.035 Penang Selatan,1,Omar Bin Long,151,PAS,3,2585
1959-05-20,GE-01,Pulau Pinang,P.035 Penang Selatan,2,Mansor Bin Sanusi,152,BEBAS,1,359
1959-05-20,GE-01,Pulau Pinang,P.035 Penang Selatan,3,David Sabapthy Ramanathan,153,BEBAS,1,9563
1959-05-20,GE-01,Pulau Pinang,P.035 Penang Selatan,4,Ismail Bin Idris,154,PERIKATAN,2,9821
1959-05-20,GE-01,Pulau Pinang,P.036 Tanjong,1,Khoo Yat See,142,PPP,4,2107
1959-05-20,GE-01,Pulau Pinang,P.036 Tanjong,2,Goh Guan Ho,143,PERIKATAN,2,6448
1959-05-20,GE-01,Pulau Pinang,P.036 Tanjong,3,Tan Phock Kin,144,BEBAS,1,11333
1959-05-20,GE-01,Pulau Pinang,P.037 Dato Kramat,1,Lee Thean-Chu,145,PERIKATAN,2,5048
1959-05-20,GE-01,Pulau Pinang,P.037 Dato Kramat,2,Lim Kean Siew,146,BEBAS,1,10474
1959-05-20,GE-01,Pulau Pinang,P.037 Dato Kramat,3,C. M. Ramli,147,BEBAS,1,286
1959-05-20,GE-01,Pulau Pinang,P.038 Seberang Utara,1,Haji Yusof Bin Haji Abdullah,135,PAS,3,4537
1959-05-20,GE-01,Pulau Pinang,P.038 Seberang Utara,2,Haji Ahmad Bin Saaid,136,PERIKATAN,2,12748
1959-05-20,GE-01,Perak,P.039 Ulu Perak,1,Md. Nor Bin Md. Dahan,183,PERIKATAN,2,7869
1959-05-20,GE-01,Perak,P.039 Ulu Perak,2,Tan Kim Seng,184,BEBAS,1,3780
1959-05-20,GE-01,Perak,P.039 Ulu Perak,3,Haji Abdul Samad Bin Haji Mohammad Noh,185,PAS,3,2677
1959-05-20,GE-01,Perak,P.040 Larut Utara,1,Tajubin Bin Ali @ Alli,173,PERIKATAN,2,11543
